№;Укажите тип Вашей общеобразовательной организации;Укажите классы, в которых Вы ведёте педагогическую деятельность как учителя литературы;На Ваш взгляд, достаточное ли количество часов отводится на зарубежную литературу в школе на данный момент?;Как Вы считаете, какое процентное соотношение должно быть между русской литературой и зарубежной при изучении в школе?;С какими проблемами Вы сталкиваетесь в преподавании зарубежной литературе?;К каким источникам материала Вы обращаетесь при поиске методических разработок по изучению зарубежной литературы?;Проявляют ли интерес школьники к изучению зарубежной литературы?
1;Репетитор (самозанятый);8–11 классы;Нет;80%–20%;" – недостаточное количество часов на раздел ""Зарубежная литература"", указанных в Федеральной рабочей программе;";" – к методическим пособиям; к научно-методическим журналам;";Мало
;;;;;"– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела ""Зарубежная литература"";";"– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции); ";
;;;;;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;"– к опыту коллег (порталы, посвященные методическим разработкам, например: ""Инфоурок"", ""Мультиурок)";
;;;;;;;
2;Лицей;5–11 классы;Нет;80%–20%;"– недостаточное количество часов на раздел ""Зарубежная литература"", указанных в Федеральной рабочей программе;";"– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции); ";Да
;;;;;"– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела ""Зарубежная литература""";"– к опыту коллег (порталы, посвященные методическим разработкам, например: ""Инфоурок"", ""Мультиурок)";
3;Лицей;6–7, 10–11 классы;Нет;80%–20%;"– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела ""Зарубежная литература""";"– научно-методическим журналам;";Нет
;;;;;;– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);
4;Лицей;9–11 классы;Нет;70%–30%;" – недостаточное количество часов на раздел ""Зарубежная литература"", указанных в Федеральной рабочей программе;";"– к методическим пособиям;";"Наполнение КТП в разделе ""Зарубежная литература"" не совсем соответствует, на мой взгляд, запросам школьников. Включить бы что-то интересное... Тогда интерес к зарубежной литературе был бы высоким."
;;;;;"– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела ""Зарубежная литература"";";"– к научно-методическим журналам; к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции); – к опыту коллег (порталы, посвященные методическим разработкам, например: ""Инфоурок"", ""Мультиурок"")";
;;;;; – нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы.;;
5;Основная общеобразовательная школа;5–9 классы;Нет;50%–50%;"– недостаточное количество часов на раздел ""Зарубежная литература"", указанных в Федеральной рабочей программе";"– к методическим пособиям; к опыту коллег (порталы, посвященные методическим разработкам, например: ""Инфоурок"", ""Мультиурок"")";Да, ребята с интересом читают зарубежку. 
